 ár,mán,  t
1958,1,-4.1
1958,2,-3.6
1958,3,-0.9
1958,4,4.0
1958,5,4.3
1958,6,9.8
1958,7,11.8
1958,8,10.2
1958,9,10.8
1958,10,5.1
1958,11,4.1
1958,12,-0.8
1959,1,-5.2
1959,2,2.4
1959,3,3.2
1959,4,1.7
1959,5,7.7
1959,6,9.1
1959,7,11.2
1959,8,9.7
1959,9,8.7
1959,10,7.5
1959,11,0.1
1959,12,-0.9
1960,1,0.8
1960,2,-2.5
1960,3,2.4
1960,4,4.6
1960,5,8.6
1960,6,9.9
1960,7,12.4
1960,8,10.9
1960,9,8.8
1960,10,3.5
1960,11,1.9
1960,12,-1.1
1961,1,0.4
1961,2,0.1
1961,3,0.5
1961,4,1.3
1961,5,8.0
1961,6,9.2
1961,7,11.3
1961,8,10.6
1961,9,8.9
1961,10,4.5
1961,11,0.9
1961,12,-3.9
1962,1,-0.2
1962,2,-1.5
1962,3,-3.7
1962,4,3.6
1962,5,6.5
1962,6,9.2
1962,7,10.9
1962,8,10.2
1962,9,7.0
1962,10,4.4
1962,11,-0.5
1962,12,-1.0
1963,1,-2.4
1963,2,0.2
1963,3,4.1
1963,4,3.6
1963,5,5.5
1963,6,9.9
1963,7,10.8
1963,8,9.8
1963,9,5.5
1963,10,5.0
1963,11,-2.2
1963,12,0.7
1964,1,2.5
1964,2,2.0
1964,3,5.0
1964,4,3.4
1964,5,7.6
1964,6,9.0
1964,7,10.1
1964,8,9.3
1964,9,6.4
1964,10,4.3
1964,11,1.5
1964,12,-4.0
1965,1,-1.4
1965,2,2.8
1965,3,-1.8
1965,4,3.5
1965,5,7.3
1965,6,9.1
1965,7,11.5
1965,8,10.1
1965,9,6.9
1965,10,6.7
1965,11,-1.1
1965,12,-3.4
1966,1,-3.0
1966,2,-3.3
1966,3,-1.1
1966,4,3.2
1966,5,6.0
1966,6,10.2
1966,7,10.7
1966,8,10.8
1966,9,7.9
1966,10,1.6
1966,11,-1.0
1966,12,-3.3
1967,1,0.5
1967,2,1.3
1967,3,-4.3
1967,4,2.0
1967,5,5.5
1967,6,8.9
1967,7,11.1
1967,8,10.1
1967,9,8.0
1967,10,1.6
1967,11,-1.2
1967,12,-2.1
1968,1,-2.3
1968,2,-2.4
1968,3,-1.7
1968,4,2.5
1968,5,5.3
1968,6,8.9
1968,7,11.6
1968,8,10.0
1968,9,9.1
1968,10,2.3
1968,11,4.0
1968,12,-1.7
1969,1,-2.6
1969,2,-4.5
1969,3,0.1
1969,4,2.6
1969,5,6.9
1969,6,9.9
1969,7,10.3
1969,8,11.3
1969,9,5.6
1969,10,4.6
1969,11,-4.1
1969,12,-0.9
1970,1,-0.1
1970,2,-3.9
1970,3,-2.9
1970,4,2.5
1970,5,7.1
1970,6,9.6
1970,7,9.9
1970,8,10.4
1970,9,7.4
1970,10,3.3
1970,11,-0.6
1970,12,0.3
1971,1,-4.3
1971,2,0.9
1971,3,1.2
1971,4,3.9
1971,5,7.5
1971,6,10.7
1971,9,8.4
1971,10,3.7
1971,11,-0.7
1971,12,-0.1
1972,1,2.3
1972,2,2.0
1972,3,2.1
1972,4,4.1
1972,5,8.6
1972,6,9.8
1972,7,10.6
1972,8,10.2
1972,9,8.5
1972,10,3.8
1972,11,-1.0
1972,12,1.2
1973,1,2.5
1973,2,-2.5
1973,3,1.6
1973,4,3.3
1973,5,6.1
1973,6,8.5
1973,7,11.2
1973,8,10.6
1973,9,8.8
1973,10,3.9
1973,11,-2.6
1973,12,-5.0
1974,1,0.7
1974,2,-0.3
1974,3,4.7
1974,4,7.1
1974,5,8.8
1974,6,10.3
1974,7,11.9
1974,8,10.8
1974,9,6.1
1974,10,4.1
1974,11,0.5
1974,12,-3.5
1975,1,-3.0
1975,2,3.0
1975,3,0.7
1975,4,3.0
1975,5,6.8
1975,6,8.3
1975,7,10.4
1975,8,11.0
1975,9,5.4
1975,10,6.2
1975,11,1.2
1975,12,-1.2
1976,1,-3.5
