 ár,mán,  t
1961,12,
1962,1,
1963,6,
1963,7,
1963,8,
1963,9,
1965,1,
1965,2,
1965,3,
1965,4,
1965,5,
1965,6,
1965,7,
1965,8,
1965,9,
1965,10,
1965,11,
1965,12,
1966,1,
1966,2,
1966,3,
1966,4,
1966,5,
1966,6,
1966,7,
1966,8,
1966,9,
1966,10,
1966,11,
1966,12,
1967,1,
1967,2,
1967,3,
1967,4,
1967,5,
1967,6,
1967,7,
1967,8,
1967,9,
1967,10,
1967,11,
1967,12,
1968,1,
1968,2,
1968,3,
1968,4,
1968,5,
1968,6,
1968,7,
1968,8,
1968,9,
1968,10,
1968,11,
1968,12,
1969,1,
1969,2,
1969,3,
1969,4,
1969,5,
1969,6,
1969,7,
1969,8,
1969,9,
1969,10,
1969,11,
1969,12,
1970,1,
1970,2,
1970,3,
1970,4,
1970,5,
1970,6,
1970,7,
1970,8,
1970,9,
1970,10,
1970,11,
1970,12,
1971,1,
1971,2,
1971,3,
1971,4,
1971,5,
1971,6,
1971,7,
1971,8,
1971,9,
1971,10,
1971,11,
1971,12,
