 ár,mán,  t
1961,1,1.6
1961,2,0.9
1961,3,0.3
1961,4,2.2
1961,5,7.3
1961,6,9.0
1961,7,10.5
1961,8,10.1
1961,9,9.0
1961,10,6.1
1961,11,2.4
1961,12,-0.7
1962,1,0.8
1962,2,-0.3
1962,3,-1.4
1962,4,3.2
1962,5,5.3
1962,6,8.0
1962,7,11.0
1962,8,10.2
1962,9,8.2
1962,10,5.3
1962,11,1.8
1962,12,0.6
1963,1,0.2
1963,2,1.2
1963,3,4.2
1963,4,2.9
1963,5,4.3
1963,6,8.8
1963,7,9.5
1963,8,9.7
1963,9,6.2
1963,10,5.2
1963,11,-0.2
1963,12,1.9
1964,1,3.0
1964,2,3.1
1964,3,5.2
1964,4,4.0
1964,5,6.6
1964,6,8.9
1964,7,9.7
1964,8,9.6
1964,9,6.4
1964,10,5.1
1964,11,2.9
1964,12,-1.2
1965,1,-0.4
1965,2,3.2
1965,3,-1.1
1965,4,2.8
1965,5,6.8
1965,6,8.9
1965,7,11.3
1965,8,10.0
1965,9,6.9
1965,10,6.8
1965,11,1.4
1965,12,-0.5
1966,1,-1.6
1966,2,-1.2
1966,3,-0.6
1966,4,2.8
1966,5,4.9
1966,6,9.5
1966,7,10.5
1966,8,10.6
1966,9,8.0
1966,10,3.9
1966,11,0.6
1966,12,-1.2
1967,1,1.6
1967,2,1.1
1967,3,-2.8
1967,4,0.6
1967,5,4.7
1967,6,8.0
1967,7,10.8
1967,8,10.2
1967,9,8.3
1967,10,3.4
1967,11,0.8
1967,12,-0.6
1968,1,-1.1
1968,2,-1.8
1968,3,-1.5
1968,4,1.7
1968,5,4.4
1968,6,8.2
1968,7,11.4
1968,8,9.6
1968,9,9.5
1968,10,2.9
1968,11,4.8
1968,12,0.8
1969,1,-1.6
1969,2,-3.2
1969,3,-1.2
1969,4,1.2
1969,5,6.2
1969,6,9.6
1969,7,9.5
1969,8,10.8
1969,9,6.1
1969,10,4.5
1969,11,-0.9
1969,12,0.6
1970,1,0.6
1970,2,-1.6
1970,3,-2.2
1970,4,1.8
1970,5,5.5
1970,6,8.0
1970,7,9.1
1970,8,9.6
1970,9,7.3
1970,10,4.0
1970,11,1.3
1970,12,1.9
1971,1,-2.5
1971,2,-0.3
1971,3,0.3
1971,4,2.3
1971,5,5.9
1971,6,8.8
1971,7,10.8
1971,8,9.9
1971,9,7.6
1971,10,3.7
1971,11,1.1
1971,12,0.4
1972,1,2.7
1972,2,2.3
1972,3,1.8
1972,4,2.7
1972,5,7.0
1972,6,8.0
1972,7,9.6
1972,8,9.3
1972,9,7.9
1972,10,4.2
1972,11,0.8
1972,12,1.3
1973,1,2.6
1973,2,-2.1
1973,3,0.7
1973,4,2.9
1973,5,4.5
1973,6,7.6
1973,7,9.5
1973,8,9.6
1973,9,8.6
1974,1,1.3
1974,2,-0.1
1974,3,3.6
1974,4,5.6
1974,5,7.8
1974,6,8.7
1974,7,11.2
1974,8,9.9
1974,9,6.2
1974,10,4.8
1974,11,3.1
1974,12,-1.7
1975,1,-2.3
1975,2,2.3
1975,3,0.4
1975,4,2.0
1975,5,5.1
1975,6,6.7
1975,7,9.1
1975,8,10.4
1975,9,5.9
1975,10,6.2
1975,11,2.0
1975,12,-1.1
1976,1,-2.6
1976,2,-0.3
1976,3,1.1
1976,4,2.1
1976,5,5.5
1976,6,9.4
1976,7,11.1
1976,8,9.0
1976,9,8.4
1976,10,6.7
1976,11,3.0
1976,12,-0.4
1977,1,-1.7
1977,2,-0.2
1977,3,2.4
1977,4,1.3
1977,5,6.2
1977,6,7.6
1977,7,10.4
1977,8,10.2
1977,9,7.1
1977,10,4.9
1977,11,-0.0
1977,12,0.9
1978,1,-1.3
1978,2,-0.8
1978,3,1.0
1978,4,3.6
1978,5,5.5
1978,6,7.5
1978,7,10.5
1978,8,10.9
1978,9,7.4
1978,10,4.5
1978,11,0.8
1978,12,2.0
1979,1,-2.9
1979,2,-0.3
1979,3,-3.9
1979,4,1.3
1979,5,1.2
1979,6,7.4
1979,7,9.5
1979,8,9.9
1979,9,5.2
1979,10,4.9
1979,11,0.8
1979,12,0.4
1980,1,0.3
1980,2,1.2
1980,3,0.8
1980,4,2.8
1980,5,6.1
1980,6,9.3
1980,7,10.5
1980,8,10.6
1980,9,7.8
1980,10,1.9
1980,11,0.9
1980,12,-1.5
1981,1,-2.1
1981,2,-1.6
1981,3,-1.4
1981,4,2.9
1981,5,6.0
1981,6,8.8
1981,7,10.0
1981,8,10.1
1981,9,6.6
1981,10,1.1
1981,11,0.1
1981,12,-1.4
1982,1,-1.5
1982,2,1.5
1982,3,0.4
1982,4,2.6
1982,5,4.5
1982,6,9.9
1982,7,10.3
1982,8,9.2
1982,9,5.8
