 ár,mán,  t
1949,1,-3.5
1949,2,-0.8
1949,3,-0.5
1949,4,-1.0
1949,5,2.9
1949,6,9.6
1949,7,11.2
1949,8,10.1
1949,9,8.6
1949,10,4.2
1949,11,2.1
1949,12,-1.1
1950,1,1.7
1950,2,-0.9
1950,3,0.5
1950,4,1.0
1950,5,6.6
1950,6,9.0
1950,7,12.2
1950,8,11.7
1950,9,6.7
1950,10,4.0
1950,11,0.6
1950,12,-1.5
1951,1,-2.0
1951,2,-1.9
1951,3,-3.2
1951,4,-0.3
1951,5,6.8
1951,6,9.2
1951,7,10.5
1951,8,10.2
1951,9,8.2
1951,10,4.5
1951,11,1.1
1951,12,-1.0
1952,1,-3.0
1952,2,-0.4
1952,3,0.4
1952,4,1.7
1952,5,4.8
1952,6,6.9
1952,7,9.3
1952,8,9.7
1952,9,7.5
1952,10,5.5
1952,11,2.9
1952,12,1.1
1953,1,0.3
1953,2,1.7
1953,3,1.5
1953,4,-0.8
1953,5,5.6
1953,6,9.8
1953,7,10.6
1953,8,10.6
1953,9,9.2
1953,10,4.0
1953,11,1.4
1953,12,2.2
1954,1,1.7
1954,2,-0.3
1954,3,0.5
1954,4,3.9
1954,5,6.3
1954,6,9.1
1954,7,9.1
1954,8,9.9
1954,9,5.3
1954,10,3.5
1954,11,2.8
1954,12,-0.6
1955,1,-1.9
1955,2,-1.9
1955,3,0.7
1955,4,4.5
1955,5,5.2
1955,6,9.7
1955,7,10.4
1955,8,9.9
1955,9,7.2
1955,10,3.7
1955,11,3.4
1955,12,-1.9
1956,1,-3.5
1956,2,2.6
1956,3,3.1
1956,4,2.8
1956,5,5.5
1956,6,7.4
1956,7,9.8
1956,8,9.3
1956,9,8.3
1956,10,4.7
1956,11,4.3
1956,12,1.7
1957,1,0.8
1957,2,-1.8
1957,3,-0.6
1957,4,3.9
1957,5,5.5
1957,6,8.8
1957,7,11.5
1957,8,10.8
1957,9,6.4
1957,10,4.0
1957,11,2.9
1957,12,-0.2
1958,1,-1.8
1958,2,-2.2
1958,3,-0.5
1958,4,3.3
1958,5,3.6
1958,6,8.8
1958,7,10.5
1958,8,8.3
1958,9,10.5
1958,10,5.9
1958,11,3.9
1958,12,-0.0
1959,1,-3.5
1959,2,1.7
1959,3,2.6
1959,4,0.7
1959,5,6.1
1959,6,8.1
1959,7,10.5
1959,8,8.7
1959,9,8.4
1959,10,7.6
1959,11,0.6
1959,12,-0.2
1960,1,0.8
1960,2,-1.7
1960,3,2.1
1960,4,3.3
1960,5,7.2
1960,6,9.1
1960,7,11.3
1960,8,10.2
1960,9,9.1
1960,10,5.4
1960,11,3.0
1960,12,0.2
1961,1,0.7
1961,2,0.0
1961,3,-0.4
1961,4,0.3
1961,5,7.0
1961,6,8.9
1961,7,10.3
1961,8,10.1
1961,9,8.7
1961,10,5.8
1961,11,2.1
1961,12,-1.4
1962,1,0.2
1962,2,0.0
1962,3,-2.6
1962,4,3.4
1962,5,5.6
1962,6,8.0
1962,7,9.9
1962,8,9.9
1962,9,7.8
1962,10,5.0
1962,11,1.7
1962,12,0.2
1963,1,-0.0
1963,2,1.0
1963,3,2.9
1963,4,2.8
1963,5,4.1
1963,6,8.9
1963,7,8.9
1963,8,8.9
1963,9,6.5
1963,10,4.8
1963,11,-0.7
1963,12,1.8
1964,1,2.5
1964,2,2.6
1964,3,5.4
1964,4,3.7
1964,5,6.4
1964,6,9.2
1964,7,9.9
1964,8,9.4
1964,9,5.9
1964,10,5.1
1964,11,2.7
1964,12,-1.6
1965,1,-0.5
1965,2,3.5
1965,3,-1.1
1965,4,2.9
1965,5,6.3
1965,6,8.1
1965,7,10.8
1965,8,10.0
1965,9,6.5
1965,10,6.6
1965,11,1.1
1965,12,-1.4
1966,1,-1.5
1966,2,-1.9
1966,3,-0.5
1966,4,2.8
1966,5,4.9
1966,6,9.2
1966,7,10.7
1966,8,10.1
1966,9,7.6
1966,10,3.7
1966,11,0.7
1966,12,-1.6
1967,1,1.1
1967,2,1.1
1967,3,-3.6
1967,4,1.6
1967,5,4.4
1967,6,8.8
1967,7,9.3
1967,8,9.9
1967,9,7.9
1967,10,2.7
1967,11,0.5
1967,12,-0.7
1968,1,-1.9
1968,2,-1.7
1968,3,-1.9
1968,4,0.8
1968,5,4.8
1968,6,7.8
1968,7,11.0
1968,8,9.6
1968,9,8.8
1968,10,2.1
1968,11,4.2
1968,12,0.4
1969,1,-2.6
1969,2,-2.8
1969,3,-1.7
1969,4,0.9
1969,5,5.3
1969,6,9.2
1969,7,9.7
1969,8,11.1
1969,9,6.3
1969,10,4.3
1969,11,-0.6
1969,12,0.0
1970,1,0.0
1970,2,-1.9
1970,3,-1.9
1970,4,1.9
1970,5,5.4
1970,6,8.4
