 ár,mán,  t
1960,7,
1960,8,
1960,9,
1960,10,
1960,11,
1960,12,
1961,1,
1961,2,
1961,3,
1961,4,
1961,5,
1961,6,
1961,7,
1961,8,
1961,9,
1961,10,
1961,11,
1961,12,
1962,1,
1962,2,
1962,3,
1962,4,
1962,5,
1962,6,
1962,7,
1962,8,
1962,10,
1962,11,
1962,12,
1963,1,
1963,2,
1963,3,
1963,4,
1963,5,
1963,6,
1963,7,
1963,8,
1963,9,
1963,10,
1963,11,
1963,12,
1964,1,
1964,2,
1964,3,
1964,4,
1964,5,
1964,6,
1964,7,
1964,8,
1964,9,
1964,10,
1964,11,
1964,12,
1965,1,
1965,2,
1965,3,
1965,4,
1965,5,
1965,6,
1965,7,
1965,8,
1965,9,
1965,10,
1965,11,
1965,12,
1966,1,
1966,2,
1966,3,
1966,4,
1966,5,
1966,6,
1966,7,
1966,8,
1966,9,
1966,10,
1966,11,
1966,12,
1967,1,
1967,2,
1967,3,
1967,4,
1967,5,
1967,6,
1967,7,
1967,8,
1967,9,
1967,10,
1967,11,
1967,12,
1968,1,
1968,2,
1968,3,
1968,4,
1968,5,
1968,7,
1968,8,
1968,9,
1968,10,
1968,11,
1968,12,
1969,1,
1969,2,
1969,3,
1969,4,
1969,5,
1969,6,
1969,7,
1969,8,
1969,9,
1969,10,
1969,11,
1969,12,
1970,1,
1970,2,
1970,3,
1970,4,
1970,5,
1970,6,
1970,7,
1970,8,
1970,9,
1970,10,
1970,11,
1970,12,
1971,1,
1971,2,
1971,3,
1971,4,
1971,5,
1971,6,
1971,7,
1971,8,
1971,9,
1971,10,
1971,11,
1971,12,
1972,1,
1972,2,
1972,3,
1972,4,
1972,5,
1972,6,
1972,7,
1972,8,
1972,9,
1972,10,
1972,11,
1972,12,
1973,1,
1973,2,
1973,3,
1973,4,
1973,5,
1973,6,
1973,7,
1973,8,
1973,9,
1973,10,
1973,11,
1973,12,
1974,1,
1974,2,
1974,3,
1974,4,
1974,5,
1974,6,
1974,7,
1974,8,
1974,9,
1974,10,
1974,11,
1974,12,
1975,1,
1975,2,
1975,3,
1975,4,
1975,5,
1975,6,
1975,7,
1975,8,
1975,9,
1975,10,
1975,11,
1975,12,
1976,1,
1976,2,
1976,3,
1976,4,
1976,5,
1976,6,
1976,7,
1976,8,
1976,9,
1976,10,
1976,11,
1976,12,
1977,1,
1977,2,
1977,3,
1977,4,
1977,5,
1977,6,
1977,7,
1977,8,
1977,9,
1977,10,
1977,11,
1977,12,
1978,1,
1978,2,
1978,3,
1978,4,
1978,5,
1978,6,
1978,7,
1978,8,
1978,9,
1978,10,
1978,11,
1978,12,
1979,1,
1979,2,
1979,3,
1979,4,
1979,5,
1979,6,
1979,7,
1979,8,
1979,9,
1979,10,
1979,11,
1979,12,
1980,1,
1980,2,
1980,3,
1980,4,
1980,5,
1980,6,
1980,7,
1980,8,
1980,9,
1980,10,
1980,11,
1980,12,
1981,1,
1981,2,
1981,3,
1981,4,
1981,5,
1981,6,
1981,7,
1981,8,
1981,9,
1981,10,
1981,11,
1981,12,
1982,1,
1982,2,
1982,3,
1982,4,
1982,5,
1982,6,
1982,7,
1982,8,
1982,9,
1982,10,
1982,11,
1982,12,
1983,1,
1983,2,
1983,3,
1983,4,
1983,5,
1983,6,
1983,7,
1983,8,
1983,9,
1983,10,
1983,11,
1983,12,
1984,1,
1984,2,
1984,3,
1984,4,
1984,5,
1984,6,
1984,7,
1984,8,
1984,9,
1984,10,
1984,11,
1984,12,
1985,3,
1985,4,
1985,5,
1985,6,
1985,7,
1985,8,
1985,9,
1985,10,
1985,11,
1985,12,
1986,1,
1986,3,
1986,4,
1986,5,
1986,6,
1986,7,
1986,8,
