 ár,mán,  t
1970,7,8.8
1970,8,9.6
1970,9,7.2
1970,10,3.9
1970,11,1.3
1970,12,2.4
1971,1,-3.0
1971,2,-0.0
1971,3,0.4
1971,4,2.3
1971,5,6.0
1971,6,8.3
1971,7,10.3
1971,8,9.7
1971,9,7.3
1971,10,3.8
1971,11,1.0
1971,12,0.2
1972,1,3.0
1972,2,2.1
1972,3,1.6
1972,4,2.3
1972,5,6.8
1972,6,7.7
1972,7,9.3
1972,8,8.9
1972,9,7.8
1972,10,4.3
1972,11,0.8
1972,12,1.2
1973,1,2.8
1973,2,-2.4
1973,3,0.9
1973,4,2.6
1973,5,4.3
1973,6,7.1
1973,7,9.2
1973,8,9.5
1973,9,8.2
1973,10,4.5
1973,11,-0.7
1973,12,-3.1
1974,1,0.8
1974,2,-0.2
1974,3,3.4
1974,4,5.6
1974,5,7.3
1974,6,8.4
1974,7,10.6
1974,8,9.4
1974,9,5.7
1974,10,5.1
1974,11,3.0
1974,12,-1.8
1975,1,-2.8
1975,2,2.7
1975,3,0.2
1975,4,1.6
1975,5,5.2
1975,6,6.8
1975,7,9.3
1975,8,10.0
1975,9,5.4
1975,10,5.9
1975,11,2.0
1975,12,-0.5
1976,1,-2.3
1976,2,0.1
1976,3,1.1
1976,4,2.8
1976,5,5.0
1976,6,9.0
1976,7,11.0
1976,8,9.3
1976,9,8.4
1976,10,6.3
1976,11,3.2
1976,12,-0.1
1977,1,-1.6
1977,2,-0.2
1977,3,1.7
1977,4,1.1
1977,5,6.5
1977,6,7.8
1977,7,10.4
1977,8,10.4
1977,9,7.4
1977,10,4.7
1977,11,0.3
1977,12,1.2
1978,1,-1.0
1978,2,-1.0
1978,3,0.7
1978,4,3.9
1978,5,5.6
1978,6,7.3
1978,7,10.2
1978,8,11.0
1978,9,7.3
1978,10,4.7
1978,11,0.6
1978,12,1.9
1979,1,-2.4
1979,2,0.5
1979,3,-3.2
1979,4,1.6
1979,5,1.2
1979,6,7.6
1979,7,8.6
1979,8,9.3
1979,9,5.1
1979,10,4.9
1979,11,1.1
1979,12,0.3
1980,1,0.3
1980,2,1.4
1980,3,0.8
1980,4,3.4
1980,5,6.3
1980,6,8.2
1980,7,10.1
1980,8,10.2
1980,9,7.8
1980,10,2.3
1980,11,1.5
1980,12,-1.2
1981,1,-1.8
1981,2,-1.4
1981,3,-1.8
1981,4,3.0
1981,5,4.9
1981,6,7.9
1981,7,9.8
1981,8,10.1
1981,9,6.4
1981,10,1.3
1981,11,0.3
1981,12,-1.3
1982,1,-1.2
1982,2,1.3
1982,3,0.3
1982,4,3.0
1982,5,3.9
1982,6,8.7
1982,7,9.9
1982,8,8.8
1982,9,5.2
1982,10,4.6
1982,11,0.4
1982,12,-0.9
1983,1,-2.0
1983,2,1.6
1983,3,-1.1
1983,4,-0.2
1983,5,4.5
1983,6,7.2
1983,7,8.5
1983,8,8.1
1983,9,6.4
1983,10,3.5
1983,11,1.8
1983,12,-0.4
1984,1,-3.1
1984,2,-0.5
1984,3,1.3
1984,4,2.8
1984,5,5.2
1984,6,8.2
1984,7,10.6
1984,8,9.5
1984,9,7.0
1984,10,3.7
1984,11,1.6
1984,12,1.0
1985,1,0.2
1985,2,0.7
1985,3,-0.1
1985,4,3.0
1985,5,6.2
1985,6,8.7
1985,7,9.2
1985,8,9.4
1985,9,6.5
1985,10,6.0
1985,11,1.5
1985,12,-0.8
1986,1,-0.3
1986,2,2.0
1986,3,0.3
1986,4,2.8
1986,5,4.0
1986,6,7.8
1986,7,9.3
1986,8,9.3
1986,9,7.2
1986,10,2.7
1986,11,0.7
1986,12,-0.4
1987,1,3.5
1987,2,1.0
1987,3,0.2
1987,4,2.6
1987,5,5.9
1987,6,8.7
1987,7,10.6
1987,8,10.1
1987,9,7.2
1987,10,2.4
1987,11,4.7
1987,12,3.3
1988,1,-2.0
1988,2,-0.6
1988,3,-1.3
1988,4,-0.3
1988,5,6.0
1988,6,7.8
1988,7,9.7
1988,8,9.9
1988,9,6.4
1988,10,4.5
1988,11,3.5
1988,12,0.6
1989,1,-0.6
1989,2,-3.3
1989,3,-1.6
1989,4,0.9
1989,5,4.0
1989,6,8.2
1989,7,9.4
1989,8,9.3
1989,9,6.5
1989,10,4.9
1989,11,2.8
1989,12,0.4
1990,1,0.3
1990,2,-1.6
1990,3,-2.0
1990,4,-0.1
1990,5,6.4
1990,6,8.9
1990,7,11.0
1990,8,10.3
1990,9,6.4
1990,10,4.6
1990,11,3.8
1990,12,0.1
1991,1,1.4
1991,2,1.6
1991,3,1.6
1991,4,0.8
1991,5,6.3
1991,6,7.7
1991,7,12.0
1991,8,10.6
1991,9,7.0
1991,10,4.6
1991,11,0.6
1991,12,1.5
1992,1,2.3
1992,2,-0.6
1992,3,0.2
1992,4,1.8
1992,5,4.9
1992,6,7.4
1992,7,9.0
1992,8,9.0
1992,9,6.5
1992,10,4.7
1992,11,1.3
1992,12,-0.2
1993,1,-2.4
1993,2,0.4
1993,3,1.0
1993,4,2.9
1993,5,4.3
1993,6,7.7
1993,7,8.5
1993,8,8.7
1993,9,8.5
1993,10,5.0
1993,11,3.5
1993,12,-0.7
1994,1,-1.6
1994,2,0.6
1994,3,-1.2
1994,4,1.4
1994,5,5.9
1994,6,6.9
1994,7,10.6
1994,8,9.7
1994,10,3.0
1994,11,1.9
1994,12,-0.5
