 ár,mán,  t
1952,1,-3.0
1952,2,-1.1
1952,3,-0.4
1952,4,0.6
1952,5,4.2
1952,6,6.7
1952,7,9.4
1952,8,9.2
1952,9,7.2
1952,10,5.3
1952,12,1.0
1953,1,-0.5
1953,2,0.6
1953,3,0.2
1953,4,-1.6
1953,5,4.9
1953,6,9.4
1953,7,10.3
1953,8,10.3
1953,9,8.9
1953,10,3.6
1953,11,1.8
1953,12,2.0
1954,1,1.7
1954,2,-0.3
1954,3,-0.3
1954,4,3.0
1954,5,5.6
1954,6,8.3
1954,7,8.8
1954,8,9.1
1954,9,5.1
1954,10,3.3
1954,11,2.6
1954,12,-0.6
1955,1,-2.4
1955,2,-2.8
1955,3,-0.6
1955,4,3.4
1955,5,4.7
1955,6,8.9
1955,7,10.2
1955,8,9.8
1955,9,7.3
1955,10,3.8
1955,11,3.0
1955,12,-1.6
1956,1,-3.1
1956,2,1.6
1956,3,2.2
1956,4,1.7
1956,5,4.8
1956,7,9.3
1956,8,9.0
1956,9,8.0
1956,10,4.6
1956,11,4.1
1956,12,2.1
1957,1,1.5
1957,2,-1.5
1957,3,-0.2
1957,4,3.1
1957,5,5.0
1957,6,8.7
1957,7,10.9
1957,8,10.5
1957,9,6.7
1957,10,4.4
1957,11,3.2
1957,12,-0.1
1958,1,-1.9
1958,2,-2.6
1958,3,-0.9
1958,6,8.0
1958,7,9.8
1958,8,7.9
1958,9,10.0
1958,10,6.0
1958,11,4.0
1958,12,0.5
1959,1,-3.0
1959,2,1.1
1959,3,2.2
1959,4,0.4
1959,5,5.4
1959,6,7.4
1959,7,10.3
1959,8,8.6
1959,9,8.6
1959,10,7.7
1959,11,1.8
1959,12,0.8
1960,1,1.3
1960,2,-1.6
1960,3,1.5
1960,4,2.5
1960,5,6.1
1960,6,8.4
1960,7,10.8
1960,8,9.4
1960,9,9.1
1960,10,5.8
1960,11,4.3
1960,12,0.8
1961,1,1.4
1961,2,0.5
1961,3,-0.4
1961,4,0.5
1961,5,5.9
1961,6,8.1
1961,7,9.9
1961,8,9.8
1961,9,8.6
1961,10,5.7
1961,11,2.3
1961,12,-1.3
1962,1,0.3
1962,2,-0.7
1962,3,-2.6
1962,4,2.4
1962,5,4.3
1962,7,9.8
1962,8,9.1
1962,9,7.8
1962,10,4.7
1962,11,1.9
1962,12,-0.1
1963,1,-0.3
1963,2,-0.1
1963,3,2.5
1963,4,1.5
1963,5,3.3
1963,6,8.1
1963,7,8.2
1963,8,8.8
1963,9,6.0
1963,10,4.6
1963,11,-0.8
1963,12,1.0
1964,1,2.0
1964,2,2.0
1964,3,4.2
1964,4,3.0
1964,5,5.7
1964,6,8.5
1964,7,9.4
1964,8,8.9
1964,9,5.8
1964,10,5.2
1964,11,2.2
1964,12,-1.3
1965,1,-1.2
1965,2,2.5
1965,3,-3.0
1965,4,0.9
1965,5,4.5
1965,6,7.3
1965,7,10.2
1965,8,9.7
1965,9,5.9
1965,10,6.3
1965,11,1.1
1965,12,-1.1
1966,1,-1.8
1966,2,-1.9
1966,3,-1.6
1966,4,1.2
1966,5,3.7
1966,6,8.6
1966,7,10.0
1966,8,9.3
1966,9,7.3
1966,10,3.3
1966,11,-0.0
1966,12,-2.1
1967,1,0.2
1967,2,0.2
1967,3,-3.9
1967,4,-0.1
1967,5,3.0
1967,6,7.2
1967,7,8.9
1967,8,9.6
1967,9,7.9
1967,10,2.9
1967,11,0.6
1967,12,-1.3
1968,1,-2.5
1968,2,-3.0
1968,3,-3.3
1968,4,-0.0
1968,5,3.3
1968,6,6.9
1968,7,10.5
1968,8,9.2
1968,9,8.4
1968,10,2.3
1968,11,4.1
1968,12,0.1
1969,1,-2.8
1969,2,-4.0
1969,3,-3.1
1969,4,-0.9
1969,5,4.0
1969,6,8.5
1969,7,9.3
1969,8,10.9
1969,9,6.4
1969,10,4.1
1969,11,-0.8
1969,12,-0.4
1970,1,-1.1
1970,2,-1.9
1970,3,-3.1
1970,4,0.7
1970,5,4.0
1970,6,7.9
1970,7,8.3
1970,8,9.0
1970,9,7.1
1970,10,3.7
1970,11,1.0
1970,12,1.2
1971,1,-3.7
1971,2,-1.4
1971,3,-1.2
1971,4,1.1
1971,5,4.8
1971,6,7.5
1971,7,10.0
1971,8,9.4
1971,9,7.0
1971,10,3.5
1972,11,0.6
1972,12,0.9
1973,1,2.2
1973,2,-3.4
1973,3,-0.0
1973,4,1.6
1973,5,3.8
1973,6,6.6
1973,7,9.2
1973,8,9.8
1973,9,8.2
1973,10,4.4
1973,11,-1.9
1973,12,-4.1
1974,1,0.6
1974,2,-0.9
1974,3,2.6
1974,4,4.8
1974,5,7.1
1974,6,8.0
1974,7,10.3
1974,8,9.0
1974,11,2.9
1975,1,-3.2
1975,2,1.1
1975,3,-0.9
1975,5,4.5
1975,6,5.7
1975,7,9.2
1975,8,10.1
1975,9,5.5
1975,10,5.3
1975,11,1.9
1975,12,-1.8
1976,1,-3.0
1976,2,-0.6
1976,3,0.7
1976,4,1.5
1976,5,4.1
1976,6,8.7
1976,7,10.7
1976,8,9.5
1976,9,8.8
1976,11,2.9
1976,12,-0.9
1977,1,-2.0
1977,2,-0.9
1977,3,0.7
1977,4,0.3
1977,5,5.4
1977,6,7.2
1977,7,9.6
1977,8,10.1
1977,9,7.2
1977,10,4.5
1977,11,-0.6
1977,12,-0.1
1978,1,-1.6
1978,2,-2.1
1978,3,0.1
1978,4,2.9
1978,5,5.3
1978,6,7.2
1978,7,9.8
1978,8,11.0
1978,9,7.3
1978,10,4.6
1978,11,1.1
1978,12,1.4
1979,1,-3.2
1979,2,-0.8
1979,3,-4.1
1979,4,0.6
1979,5,0.7
1979,6,6.9
1979,7,8.8
1979,9,5.4
1979,10,4.7
1979,11,1.4
1979,12,0.3
1980,3,0.6
1980,4,2.3
1980,5,5.5
1980,6,8.0
1980,7,10.0
1980,8,10.2
1980,9,7.8
1980,10,1.9
1980,11,0.8
1980,12,-1.8
1981,1,-3.1
1981,5,4.1
1981,7,9.1
1981,8,10.2
1981,9,5.9
1981,10,0.9
1981,11,-0.7
1981,12,-2.1
1982,1,-1.6
1982,2,0.6
1982,3,0.1
1982,5,3.5
1982,6,7.7
1982,9,5.3
1982,10,4.7
1982,11,0.4
1982,12,-1.3
1983,1,-2.8
1983,2,0.5
1983,3,-2.0
1983,4,-1.1
1983,5,3.6
1983,7,8.5
1983,8,8.2
1983,9,6.3
1983,10,3.2
1983,11,1.1
1983,12,-1.6
1984,1,-3.1
1984,2,-0.9
1984,3,0.6
1984,4,2.4
1987,12,2.6
1988,1,-2.2
1988,2,-1.7
1988,3,-2.0
1988,4,-1.1
1988,5,5.2
1988,6,7.5
1988,7,9.3
1988,8,9.7
1988,9,6.3
1988,11,2.8
1988,12,0.1
1989,1,-1.1
1989,2,-3.7
1989,3,-1.5
1989,4,0.8
1989,5,3.7
